Antibiotic,vtm_nm,vtm_id,vmp_nm,vmp_id,vmp_atc_route,atc_route,aware_2019,aware_2024
Amikacin,Amikacin,774534000,Amikacin 500mg/2ml solution for injection ampoules,44422511000001103,P,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 25mg/5ml solution for injection ampoules,44007311000001107,,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 500mg/100ml infusion polyethylene bottles,41823511000001108,P,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 400micrograms/0.1ml intravitreal injection kit,38244211000001108,,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 25mg/5ml solution for injection vials,35111911000001104,,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 25mg/5ml solution for injection pre-filled syringes,35104511000001105,,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 500mg/2ml solution for injection vials,35899911000001109,P,,Watch,Watch
Amikacin,Amikacin,774534000,Amikacin 100mg/2ml solution for injection vials,35899811000001104,P,,Watch,Watch
Amikacin,Amikacin liposomal,782421008,Amikacin liposomal 590mg nebuliser dispersion vials with device,39601711000001109,Inhal.solution,,Watch,Watch
Amoxicillin,Amoxicillin,774586009,Amoxicillin 500mg/50ml infusion bags,34226911000001109,P,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 250mg capsules,39732311000001104,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 500mg capsules,39732411000001106,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 250mg/5ml oral suspension,41941111000001109,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 250mg/5ml oral suspension sugar free,39021911000001105,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 125mg/5ml oral suspension,41940811000001105,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 125mg/5ml oral suspension sugar free,35901911000001104,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 125mg/1.25ml oral suspension paediatric,35368511000001109,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 500mg powder for solution for injection vials,41941211000001103,P,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 250mg powder for solution for injection vials,41941011000001108,P,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 1g powder for solution for injection vials,41940911000001100,P,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 3g oral powder sachets sugar free,35902111000001107,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 500mg tablets,44456411000001100,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 1g dispersible tablets sugar free,38726811000001109,O,,Access,Access
Amoxicillin,Amoxicillin,774586009,Amoxicillin 500mg/5ml oral suspension sugar free,41941311000001106,O,,Access,Access
Ampicillin,Ampicillin,774590006,Ampicillin 250mg capsules,41941511000001100,O,,Access,Access
Ampicillin,Ampicillin,774590006,Ampicillin 500mg capsules,41941711000001105,O,,Access,Access
